event_id,payment_id,amount_inr,currency,method,failure_reason,failure_type,successful_payments,split,p_retry,p_link,p_human
evt_syn_00094,pay_syn_00094,637,INR,upi,authentication failed,authentication_failed,0,train,0.22,0.6,0.42
evt_syn_00095,pay_syn_00095,2862,INR,upi,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00096,pay_syn_00096,4419,INR,card,network error,network_error,0,holdout,0.58,0.5,0.35
evt_syn_00097,pay_syn_00097,32347,INR,card,insufficient funds,insufficient_funds,3,holdout,0.7,0.53,0.5
evt_syn_00098,pay_syn_00098,219,INR,card,network error,network_error,2,train,0.58,0.5,0.35
evt_syn_00099,pay_syn_00099,1892,INR,card,authentication failed,authentication_failed,2,holdout,0.22,0.6,0.42
evt_syn_00100,pay_syn_00100,6876,INR,card,insufficient funds,insufficient_funds,3,holdout,0.78,0.61,0.5
evt_syn_00101,pay_syn_00101,518,INR,upi,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00102,pay_syn_00102,906,INR,card,authentication failed,authentication_failed,5,train,0.28,0.66,0.42
evt_syn_00103,pay_syn_00103,24837,INR,netbanking,bank decline,bank_decline,5,holdout,0.18,0.58,0.4
evt_syn_00104,pay_syn_00104,2517,INR,card,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00105,pay_syn_00105,2775,INR,upi,card expired,card_expired,8,holdout,0.14,0.74,0.45
evt_syn_00106,pay_syn_00106,9425,INR,netbanking,card expired,card_expired,2,holdout,0.08,0.68,0.45
evt_syn_00107,pay_syn_00107,24707,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,1,holdout,0.05,0.62,0.4
evt_syn_00108,pay_syn_00108,18995,INR,netbanking,insufficient funds,insufficient_funds,3,train,0.78,0.61,0.5
evt_syn_00109,pay_syn_00109,531,INR,card,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00110,pay_syn_00110,3441,INR,card,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00111,pay_syn_00111,446,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,3,train,0.11,0.68,0.4
evt_syn_00112,pay_syn_00112,3915,INR,card,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00113,pay_syn_00113,10016,INR,card,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00114,pay_syn_00114,4055,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,2,holdout,0.05,0.62,0.4
evt_syn_00115,pay_syn_00115,1494,INR,card,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00116,pay_syn_00116,8033,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,0,train,0.05,0.62,0.4
evt_syn_00117,pay_syn_00117,14777,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,1,holdout,0.05,0.62,0.4
evt_syn_00118,pay_syn_00118,2238,INR,netbanking,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00119,pay_syn_00119,498,INR,card,insufficient funds,insufficient_funds,3,train,0.78,0.61,0.5
evt_syn_00120,pay_syn_00120,211,INR,upi,bank decline,bank_decline,2,train,0.12,0.52,0.4
evt_syn_00121,pay_syn_00121,33273,INR,upi,card expired,card_expired,8,train,0.06,0.66,0.45
evt_syn_00122,pay_syn_00122,3363,INR,card,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00123,pay_syn_00123,27791,INR,card,bank decline,bank_decline,8,train,0.1,0.5,0.4
evt_syn_00124,pay_syn_00124,3533,INR,netbanking,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00125,pay_syn_00125,3410,INR,card,network error,network_error,8,train,0.64,0.56,0.35
evt_syn_00126,pay_syn_00126,28251,INR,card,insufficient funds,insufficient_funds,8,train,0.7,0.53,0.5
evt_syn_00127,pay_syn_00127,444,INR,card,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00128,pay_syn_00128,12699,INR,card,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00129,pay_syn_00129,16166,INR,card,card expired,card_expired,3,holdout,0.14,0.74,0.45
evt_syn_00130,pay_syn_00130,8241,INR,netbanking,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00131,pay_syn_00131,1582,INR,card,insufficient funds,insufficient_funds,0,holdout,0.72,0.55,0.5
evt_syn_00132,pay_syn_00132,19728,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,1,train,0.05,0.62,0.4
evt_syn_00133,pay_syn_00133,41399,INR,upi,authentication failed,authentication_failed,2,train,0.14,0.52,0.42
evt_syn_00134,pay_syn_00134,2320,INR,card,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00135,pay_syn_00135,24424,INR,card,network error,network_error,2,holdout,0.58,0.5,0.35
evt_syn_00136,pay_syn_00136,1164,INR,card,authentication failed,authentication_failed,3,train,0.28,0.66,0.42
evt_syn_00137,pay_syn_00137,17973,INR,upi,authentication failed,authentication_failed,8,train,0.28,0.66,0.42
evt_syn_00138,pay_syn_00138,555,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,1,train,0.05,0.62,0.4
evt_syn_00139,pay_syn_00139,3841,INR,upi,bank decline,bank_decline,2,holdout,0.12,0.52,0.4
evt_syn_00140,pay_syn_00140,2288,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,1,holdout,0.05,0.62,0.4
evt_syn_00141,pay_syn_00141,1004,INR,netbanking,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00142,pay_syn_00142,3550,INR,upi,insufficient funds,insufficient_funds,3,holdout,0.78,0.61,0.5
evt_syn_00143,pay_syn_00143,4799,INR,upi,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00144,pay_syn_00144,8920,INR,card,network error,network_error,3,train,0.64,0.56,0.35
evt_syn_00145,pay_syn_00145,315,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,2,train,0.05,0.62,0.4
evt_syn_00146,pay_syn_00146,34563,INR,card,insufficient funds,insufficient_funds,2,train,0.64,0.47,0.5
evt_syn_00147,pay_syn_00147,2870,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,2,train,0.05,0.62,0.4
evt_syn_00148,pay_syn_00148,7236,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,5,holdout,0.11,0.68,0.4
evt_syn_00149,pay_syn_00149,4226,INR,card,bank decline,bank_decline,2,train,0.12,0.52,0.4
evt_syn_00150,pay_syn_00150,3703,INR,card,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00151,pay_syn_00151,4124,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,2,holdout,0.05,0.62,0.4
evt_syn_00152,pay_syn_00152,65650,INR,card,bank decline,bank_decline,2,holdout,0.04,0.44,0.4
evt_syn_00153,pay_syn_00153,2937,INR,upi,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00154,pay_syn_00154,17492,INR,card,authentication failed,authentication_failed,2,train,0.22,0.6,0.42
evt_syn_00155,pay_syn_00155,1411,INR,upi,network error,network_error,5,train,0.64,0.56,0.35
evt_syn_00156,pay_syn_00156,346,INR,card,network error,network_error,1,train,0.58,0.5,0.35
evt_syn_00157,pay_syn_00157,3552,INR,card,bank decline,bank_decline,3,holdout,0.18,0.58,0.4
evt_syn_00158,pay_syn_00158,21226,INR,upi,bank decline,bank_decline,8,holdout,0.18,0.58,0.4
evt_syn_00159,pay_syn_00159,845,INR,card,insufficient funds,insufficient_funds,3,holdout,0.78,0.61,0.5
evt_syn_00160,pay_syn_00160,1403,INR,card,bank decline,bank_decline,3,train,0.18,0.58,0.4
evt_syn_00161,pay_syn_00161,15753,INR,card,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00162,pay_syn_00162,742,INR,card,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00163,pay_syn_00163,18945,INR,netbanking,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00164,pay_syn_00164,2045,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,3,holdout,0.11,0.68,0.4
evt_syn_00165,pay_syn_00165,651,INR,netbanking,authentication failed,authentication_failed,8,train,0.28,0.66,0.42
evt_syn_00166,pay_syn_00166,12484,INR,card,network error,network_error,5,holdout,0.64,0.56,0.35
evt_syn_00167,pay_syn_00167,589,INR,netbanking,bank decline,bank_decline,2,train,0.12,0.52,0.4
evt_syn_00168,pay_syn_00168,873,INR,card,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00169,pay_syn_00169,5803,INR,upi,authentication failed,authentication_failed,5,holdout,0.28,0.66,0.42
evt_syn_00170,pay_syn_00170,8770,INR,card,network error,network_error,2,train,0.58,0.5,0.35
evt_syn_00171,pay_syn_00171,4094,INR,card,insufficient funds,insufficient_funds,3,train,0.78,0.61,0.5
evt_syn_00172,pay_syn_00172,10061,INR,card,network error,network_error,3,train,0.64,0.56,0.35
evt_syn_00173,pay_syn_00173,501,INR,upi,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00174,pay_syn_00174,4979,INR,netbanking,insufficient funds,insufficient_funds,1,holdout,0.72,0.55,0.5
evt_syn_00175,pay_syn_00175,4377,INR,card,bank decline,bank_decline,8,holdout,0.18,0.58,0.4
evt_syn_00176,pay_syn_00176,276,INR,card,card expired,card_expired,0,holdout,0.08,0.68,0.45
evt_syn_00177,pay_syn_00177,43262,INR,upi,authentication failed,authentication_failed,1,train,0.14,0.52,0.42
evt_syn_00178,pay_syn_00178,3755,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,3,train,0.11,0.68,0.4
evt_syn_00179,pay_syn_00179,28550,INR,upi,bank decline,bank_decline,3,train,0.1,0.5,0.4
evt_syn_00180,pay_syn_00180,4748,INR,card,bank decline,bank_decline,2,train,0.12,0.52,0.4
evt_syn_00181,pay_syn_00181,11689,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,0,holdout,0.05,0.62,0.4
evt_syn_00182,pay_syn_00182,1398,INR,netbanking,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00183,pay_syn_00183,13850,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,1,holdout,0.05,0.62,0.4
evt_syn_00184,pay_syn_00184,21686,INR,card,authentication failed,authentication_failed,8,train,0.28,0.66,0.42
evt_syn_00185,pay_syn_00185,4893,INR,card,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00186,pay_syn_00186,3641,INR,upi,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00187,pay_syn_00187,39900,INR,card,network error,network_error,0,train,0.5,0.42,0.35
evt_syn_00188,pay_syn_00188,540,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,0,holdout,0.05,0.62,0.4
evt_syn_00189,pay_syn_00189,24080,INR,card,card expired,card_expired,0,holdout,0.08,0.68,0.45
evt_syn_00190,pay_syn_00190,14764,INR,card,card expired,card_expired,0,holdout,0.08,0.68,0.45
evt_syn_00191,pay_syn_00191,6801,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,3,train,0.11,0.68,0.4
evt_syn_00192,pay_syn_00192,14647,INR,card,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00193,pay_syn_00193,1465,INR,upi,insufficient funds,insufficient_funds,3,train,0.78,0.61,0.5
evt_syn_00194,pay_syn_00194,2851,INR,netbanking,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00195,pay_syn_00195,23543,INR,card,bank decline,bank_decline,1,train,0.12,0.52,0.4
evt_syn_00196,pay_syn_00196,3810,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,0,train,0.05,0.62,0.4
evt_syn_00197,pay_syn_00197,6076,INR,netbanking,insufficient funds,insufficient_funds,0,train,0.72,0.55,0.5
evt_syn_00198,pay_syn_00198,3446,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,2,train,0.05,0.62,0.4
evt_syn_00199,pay_syn_00199,6874,INR,netbanking,card expired,card_expired,5,holdout,0.14,0.74,0.45
evt_syn_00200,pay_syn_00200,1935,INR,upi,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00201,pay_syn_00201,2280,INR,card,authentication failed,authentication_failed,3,holdout,0.28,0.66,0.42
evt_syn_00202,pay_syn_00202,1373,INR,card,authentication failed,authentication_failed,5,train,0.28,0.66,0.42
evt_syn_00203,pay_syn_00203,1532,INR,netbanking,bank decline,bank_decline,2,holdout,0.12,0.52,0.4
evt_syn_00204,pay_syn_00204,11730,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,1,holdout,0.05,0.62,0.4
evt_syn_00205,pay_syn_00205,44674,INR,card,authentication failed,authentication_failed,1,train,0.14,0.52,0.42
evt_syn_00206,pay_syn_00206,8674,INR,card,card expired,card_expired,5,holdout,0.14,0.74,0.45
evt_syn_00207,pay_syn_00207,14406,INR,upi,card expired,card_expired,0,holdout,0.08,0.68,0.45
evt_syn_00208,pay_syn_00208,14121,INR,card,network error,network_error,0,train,0.58,0.5,0.35
evt_syn_00209,pay_syn_00209,10567,INR,card,card expired,card_expired,1,holdout,0.08,0.68,0.45
evt_syn_00210,pay_syn_00210,1581,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,3,train,0.11,0.68,0.4
evt_syn_00211,pay_syn_00211,2858,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,1,train,0.05,0.62,0.4
evt_syn_00212,pay_syn_00212,44537,INR,card,card expired,card_expired,0,train,0.0,0.6,0.45
evt_syn_00213,pay_syn_00213,282,INR,upi,bank decline,bank_decline,1,train,0.12,0.52,0.4
evt_syn_00214,pay_syn_00214,4092,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,2,train,0.05,0.62,0.4
evt_syn_00215,pay_syn_00215,12972,INR,card,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00216,pay_syn_00216,1031,INR,card,card expired,card_expired,0,holdout,0.08,0.68,0.45
evt_syn_00217,pay_syn_00217,1491,INR,upi,bank decline,bank_decline,0,train,0.12,0.52,0.4
evt_syn_00218,pay_syn_00218,13196,INR,card,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00219,pay_syn_00219,218,INR,card,bank decline,bank_decline,2,holdout,0.12,0.52,0.4
evt_syn_00220,pay_syn_00220,3906,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,2,train,0.05,0.62,0.4
evt_syn_00221,pay_syn_00221,4282,INR,upi,insufficient funds,insufficient_funds,8,holdout,0.78,0.61,0.5
evt_syn_00222,pay_syn_00222,307,INR,netbanking,network error,network_error,0,train,0.58,0.5,0.35
evt_syn_00223,pay_syn_00223,20562,INR,card,insufficient funds,insufficient_funds,0,train,0.72,0.55,0.5
evt_syn_00224,pay_syn_00224,1794,INR,card,authentication failed,authentication_failed,5,train,0.28,0.66,0.42
evt_syn_00225,pay_syn_00225,7419,INR,card,network error,network_error,0,train,0.58,0.5,0.35
evt_syn_00226,pay_syn_00226,976,INR,card,insufficient funds,insufficient_funds,3,holdout,0.78,0.61,0.5
evt_syn_00227,pay_syn_00227,3309,INR,upi,authentication failed,authentication_failed,3,train,0.28,0.66,0.42
evt_syn_00228,pay_syn_00228,10295,INR,card,bank decline,bank_decline,5,train,0.18,0.58,0.4
evt_syn_00229,pay_syn_00229,2240,INR,netbanking,insufficient funds,insufficient_funds,3,train,0.78,0.61,0.5
evt_syn_00230,pay_syn_00230,2851,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,0,holdout,0.05,0.62,0.4
evt_syn_00231,pay_syn_00231,16479,INR,netbanking,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00232,pay_syn_00232,49212,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,5,holdout,0.03,0.6,0.4
evt_syn_00233,pay_syn_00233,818,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,2,holdout,0.05,0.62,0.4
evt_syn_00234,pay_syn_00234,10626,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,8,train,0.11,0.68,0.4
evt_syn_00235,pay_syn_00235,647,INR,netbanking,insufficient funds,insufficient_funds,8,train,0.78,0.61,0.5
evt_syn_00236,pay_syn_00236,2158,INR,card,insufficient funds,insufficient_funds,1,train,0.72,0.55,0.5
evt_syn_00237,pay_syn_00237,10482,INR,card,insufficient funds,insufficient_funds,0,train,0.72,0.55,0.5
evt_syn_00238,pay_syn_00238,4488,INR,netbanking,card expired,card_expired,3,holdout,0.14,0.74,0.45
evt_syn_00239,pay_syn_00239,1579,INR,card,card expired,card_expired,5,holdout,0.14,0.74,0.45
evt_syn_00240,pay_syn_00240,3437,INR,card,authentication failed,authentication_failed,3,train,0.28,0.66,0.42
evt_syn_00241,pay_syn_00241,7093,INR,netbanking,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00242,pay_syn_00242,1074,INR,card,authentication failed,authentication_failed,1,holdout,0.22,0.6,0.42
evt_syn_00243,pay_syn_00243,8145,INR,card,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00244,pay_syn_00244,13317,INR,netbanking,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00245,pay_syn_00245,7147,INR,card,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00246,pay_syn_00246,7712,INR,card,bank decline,bank_decline,3,train,0.18,0.58,0.4
evt_syn_00247,pay_syn_00247,653,INR,upi,authentication failed,authentication_failed,2,train,0.22,0.6,0.42
